"vertex_id","egoid","size","edges","density","clustering","betweenness_centralization","degree_centralization","diameter","modularity","n_components","max_comp_size","prop_lcc","gender_1","race_1","parentincome_1","RegionUS","Extraversion_1","Openness_1","Agreeableness_1","Conscientiousness_1","Neuroticism_1","cluster_km"
24833,24833,41,346,0.384146341463415,0.639491794600318,0.162414338348826,0.540853658536585,3,0.286485260770975,1,41,1,"Female","White","$200,000 - $249,999","West South Central",3,2.2,3.5555556,2.3333333,2.375,1
24883,24883,31,230,0.406451612903226,0.892761394101877,0.0188433984066168,0.160215053763441,2,0.484756865709247,2,18,0.580645161290323,"Male","White","$250,000 or more","Middle Atlantic",2.625,3.2,3.8888888,4.2222223,2,1
24898,24898,45,130,0.128282828282828,0.684898929845422,0.293805428187035,0.235353535353535,5,0.602920205840412,4,37,0.822222222222222,"Male","White","$100,000 - $149,999","East North Central",2,3.3,3.7777777,4.7777777,3.25,0
25125,25125,49,238,0.175170068027211,0.764003673094582,0.0398010428576768,0.324829931972789,3,0.196354510321425,21,28,0.571428571428571,"Female","Latino/a","$100,000 - $149,999","East North Central",2.375,3.8,3.6666667,2.7777777,2.5,1
25172,25172,22,146,0.554112554112554,0.713554987212276,0.129047619047619,0.445887445887446,2,0.195037841796875,1,22,1,"Female","White","$150,000 - $199,999","Pacific",3.375,3.0999999,3.6666667,4,1.75,3
25197,25197,53,455,0.257619738751814,0.63391442155309,0.345875340611556,0.473149492017417,4,0.471763538980361,1,53,1,"Male","White","$75,000 - $99,999","East North Central",1.875,2.7,4.7777777,4.5555553,3,0
25369,25369,20,124,0.652631578947368,0.861702127659575,0.0495537088334872,0.294736842105263,2,0.150591831425598,2,19,0.95,"Male","White","$250,000 or more","East North Central",3.25,3,3.5555556,3.2222223,3,3
25495,25495,23,86,0.328063241106719,0.632022471910112,0.0948851441403007,0.353754940711462,3,0.264624764116708,3,21,0.91304347826087,"Male","White","$250,000 or more","Pacific",2.25,2.8,2.7777777,4.2222223,2.625,1
25536,25536,21,70,0.328571428571429,0.676148796498906,0.554789473684211,0.421428571428571,3,0.419554715395925,1,21,1,"Female","Latino/a","","South Atlantic",3,3.4000001,3.7777777,3.6666667,3,2
25548,25548,30,122,0.241379310344828,0.734149054505006,0.112875828095804,0.275862068965517,3,0.415011337868481,3,20,0.666666666666667,"Male","White","$150,000 - $199,999","West North Central",3.25,3.0999999,3,3.7777777,2.375,1
25743,25743,8,20,0.714285714285714,0.741176470588235,0.117913832199546,0.285714285714286,2,0.1,1,8,1,"","","$50,000 - $74,999","",2.5,3.0999999,2.7777777,3.2222223,4.25,3
25961,25961,17,95,0.661764705882353,0.903,0.127734375,0.275735294117647,3,0.103641975308642,1,17,1,"Female","Asian-American","$50,000 - $74,999","Pacific",3.375,3.5999999,3.7777777,3.1111112,3.125,3
25966,25966,30,147,0.319540229885057,0.804245283018868,0.042504930096233,0.163218390804598,3,0.515294239428601,2,19,0.633333333333333,"Female","White","$100,000 - $149,999","East North Central",2.75,3.4000001,3.6666667,3.5555556,3.875,1
26272,26272,22,77,0.324675324675325,0.882978723404255,0.0979591836734694,0.199134199134199,2,0.350577777777778,2,12,0.545454545454545,"Female","Latino/a","$250,000 or more","Pacific",2.375,2.8,3.7777777,3.3333333,2.5,1
26289,26289,12,45,0.681818181818182,1,0,0.136363636363636,1,0,3,10,0.833333333333333,"Female","Latino/a","$200,000 - $249,999","West South Central",4.125,4.0999999,3.8888888,3.4444444,2,3
